,City,Lat,Lon,Street,Trulia Est,Zip Code,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Heating Type,Parking Spots
499,0,36.97379,-121.89773000000001,150 Carrera Cir,834658,95003,3,2.5,1450,224,1999,0,2
500,0,36.98343,-121.91458999999999,2816 Casa De Vida Dr,663625,95003,2,2.5,1273,329,1981,0,2
520,0,36.971,-121.88663999999999,424 Clubhouse Dr,821875,95003,2,2.0,1496,321,1974,0,1
527,0,36.96911,-121.88426000000001,529 Clubhouse Dr,794785,95003,3,2.0,1535,146,1964,0,2
532,0,36.968779999999995,-121.88395,535 Clubhouse Dr,810519,95003,4,2.0,1415,325,1973,0,1
538,0,36.968070000000004,-121.88393,544 Clubhouse Dr,995956,95003,3,2.5,1861,416,1998,0,2
539,0,36.96823,-121.88344,545 Clubhouse Dr,767996,95003,3,2.0,1200,171,1977,0,1
546,0,36.96768,-121.88292,603 Clubhouse Dr,1098933,95003,3,3.0,1816,512,1959,0,2
548,0,36.96743,-121.8824,609 Clubhouse Dr,965123,95003,3,2.0,1920,167,1963,0,2
549,0,36.96735,-121.88225,611 Clubhouse Dr,1144493,95003,4,3.0,1927,195,1960,0,1
550,0,36.967259999999996,-121.8821,613 Clubhouse Dr,977848,95003,3,2.5,1839,133,1962,0,2
552,0,36.9668,-121.88166000000001,619 Clubhouse Dr,1053442,95003,3,2.5,1902,237,1998,0,2
553,0,36.96662,-121.88181999999999,621 Clubhouse Dr,1236635,95003,3,3.0,2393,196,1968,0,2
558,0,36.96548,-121.88178,669 Clubhouse Dr,919108,95003,2,2.0,1107,194,1969,0,1
563,0,36.964529999999996,-121.88128,684 Clubhouse Dr,1359452,95003,5,3.0,2312,281,1960,0,2
567,0,36.96428,-121.88049,704 Clubhouse Dr,1024211,95003,3,2.0,1806,183,1960,0,1
575,0,36.96365,-121.87823,723 Clubhouse Dr,1120610,95003,3,2.0,2149,291,1960,0,2
576,0,36.96332,-121.87884,724 Clubhouse Dr,1169306,95003,3,3.0,2053,151,1975,0,2
580,0,36.963,-121.87847,728 Clubhouse Dr,1125778,95003,3,2.0,2069,222,1959,0,1
582,0,36.96267,-121.87816000000001,732 Clubhouse Dr,1344661,95003,5,3.5,2592,291,1972,0,2
584,0,36.96246,-121.87811,734 Clubhouse Dr,882051,95003,3,2.0,1554,321,1959,0,1
592,0,36.96115,-121.87798000000001,825 Clubhouse Dr,1359104,95003,3,2.5,2475,402,1997,0,2
593,0,36.961420000000004,-121.87848999999999,840 Clubhouse Dr,968278,95003,2,2.0,1572,528,1961,0,2
598,0,36.960409999999996,-121.87913999999999,920 Clubhouse Dr,1049339,95003,3,2.0,1476,398,1961,0,2
600,0,36.96024,-121.87931,950 Clubhouse Dr,1083486,95003,3,2.0,1577,523,1974,0,2
601,0,36.959720000000004,-121.8792,951 Clubhouse Dr,1241199,95003,4,3.5,1940,349,1963,0,2
602,0,36.96012,-121.87951000000001,960 Clubhouse Dr,1065331,95003,3,2.0,1485,203,1976,0,2
603,0,36.96,-121.87973000000001,970 Clubhouse Dr,1202940,95003,4,2.5,2126,416,1965,0,2
604,0,36.95961,-121.87943,975 Clubhouse Dr,1321183,95003,3,3.0,2941,192,1963,0,2
607,0,36.95975,-121.88022,1000 Clubhouse Dr,1199209,95003,3,2.0,1714,429,1961,0,2
613,0,36.959379999999996,-121.8809,1040 Clubhouse Dr,1100984,95003,2,2.0,1680,387,1967,0,2
615,0,36.958870000000005,-121.88077,1051 Clubhouse Dr,1448219,95003,4,4.0,3485,212,1971,0,3
619,0,36.95754,-121.882,1191 Clubhouse Dr,1949774,95003,4,2.5,2762,148,1977,0,2
